Id,Label,pageranks,degree,weighted degree,modularity_class,clustering,triangles,Color
academi,academi,0.002671,3,346,0,1,3,"#97d3ff"
dietitian,dietitian,0.007998,58,9914,0,0.558379,923,"#97d3ff"
pay,pay,0.017369,96,18404,0,0.272368,1242,"#97d3ff"
work,work,0.052974,187,47680,0,0.108677,1890,"#97d3ff"
actual,actual,0.003759,17,2340,1,0.955882,130,"#ff92b4"
amp,amp,0.004835,26,4270,2,0.676923,220,"#28b36a"
eat,eat,0.008122,49,9160,1,0.50085,589,"#ff92b4"
food,food,0.015133,98,20804,1,0.302125,1436,"#ff92b4"
know,know,0.0147,99,18500,1,0.303236,1471,"#ff92b4"
like,like,0.038126,157,34206,1,0.146578,1795,"#ff92b4"
much,much,0.007327,55,9310,0,0.608754,904,"#97d3ff"
need,need,0.013541,92,17212,1,0.335165,1403,"#ff92b4"
nutrit,nutrit,0.017031,108,21200,1,0.270163,1561,"#ff92b4"
patient,patient,0.013384,91,18432,1,0.32674,1338,"#ff92b4"
peopl,peopl,0.009516,72,13962,1,0.464006,1186,"#ff92b4"
practic,practic,0.007057,52,9216,0,0.608597,807,"#97d3ff"
think,think,0.010159,80,15146,1,0.419937,1327,"#ff92b4"
time,time,0.017244,113,20994,0,0.255057,1614,"#97d3ff"
want,want,0.015344,105,20194,1,0.28315,1546,"#ff92b4"
will,will,0.012725,92,17460,0,0.343765,1439,"#97d3ff"
year,year,0.020828,116,21952,0,0.233583,1558,"#97d3ff"
ago,ago,0.002723,3,468,0,1,3,"#97d3ff"
agre,agre,0.002699,3,406,1,1,3,"#ff92b4"
alreadi,alreadi,0.002581,2,282,0,1,1,"#97d3ff"
alway,alway,0.00352,14,1920,1,1,91,"#ff92b4"
job,job,0.015829,102,20730,0,0.268492,1383,"#97d3ff"
make,make,0.011803,84,16512,0,0.375215,1308,"#97d3ff"
client,client,0.003923,18,2890,1,0.908497,139,"#ff92b4"
communiti,communiti,0.003431,10,1388,2,0.822222,37,"#28b36a"
got,got,0.003629,14,1926,2,0.934066,85,"#28b36a"
health,health,0.006297,43,7168,1,0.667774,603,"#ff92b4"
