Id,Label,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,Cluter-ID,modularity_class,clustering,triangles,eigencentrality,stat_inf_class,Color
advic,advic,8,3,0.515723,0.542683,0.140909,0.008041,49,0,0.928571,26,0.258863,10,"#f97743"
clinic,clinic,19,3,0.554054,0.609756,6.89083,0.016696,61,0,0.684211,117,0.480916,10,"#f97743"
dietitian,dietitian,35,2,0.635659,0.713415,80.927416,0.030582,66,1,0.443697,264,0.733417,5,"#9a96e5"
job,job,52,2,0.732143,0.817073,292.593745,0.047508,69,0,0.248869,330,0.864714,10,"#f97743"
like,like,51,2,0.725664,0.810976,281.389964,0.046384,70,1,0.266667,340,0.865655,2,"#9a96e5"
nutrit,nutrit,59,2,0.780952,0.859756,565.422716,0.057376,71,0,0.203974,349,0.89943,3,"#f97743"
patient,patient,26,2,0.594203,0.658537,81.482161,0.024351,57,1,0.4,130,0.505156,4,"#9a96e5"
work,work,72,2,0.891304,0.939024,963.013142,0.071162,72,1,0.159233,407,1,1,"#9a96e5"
year,year,25,2,0.589928,0.652439,19.967875,0.021616,73,1,0.61,183,0.59656,8,"#9a96e5"
anyon,anyon,17,2,0.557823,0.603659,4.750907,0.015124,63,1,0.772059,105,0.460052,5,"#9a96e5"
current,current,9,3,0.518987,0.54878,0.133333,0.008757,55,1,0.944444,34,0.287099,5,"#9a96e5"
feel,feel,41,2,0.666667,0.75,326.74456,0.040229,74,2,0.29878,245,0.725604,9,"#28b36a"
food,food,22,2,0.577465,0.634146,48.28879,0.02088,64,0,0.489177,113,0.478246,3,"#f97743"
know,know,36,2,0.640625,0.719512,100.084541,0.031543,75,1,0.415873,262,0.732991,6,"#9a96e5"
look,look,17,2,0.557823,0.603659,2.874347,0.014934,67,1,0.845588,115,0.488295,8,"#9a96e5"
love,love,13,3,0.532468,0.573171,0.883074,0.011809,59,0,0.884615,69,0.386265,10,"#f97743"
practic,practic,16,2,0.554054,0.597561,11.085414,0.014767,60,1,0.666667,80,0.410845,9,"#9a96e5"
program,program,9,3,0.515723,0.546748,0.761905,0.008951,43,0,0.861111,31,0.258304,5,"#f97743"
time,time,27,2,0.59854,0.664634,19.614677,0.022849,76,1,0.618234,217,0.654479,7,"#9a96e5"
